A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
PU,4.851693989,30.53779599,37.59976321,5.99273224,14.95810565,1403.751093,2877,2403
PU,4.84442623,25.7747541,35.25081967,5.476721312,19.82513661,1503.204645,2229,2483
Si,3.419945355,28.96468124,28.64100182,4.633661202,8.808743169,1472.057104,2790,2962
Aerogel,3.078360656,35.16974499,27.38459016,4.386557377,12.36429873,1392.275683,3300,2998
Aerogel,5.055191257,19.39489982,24.92639344,3.623442623,18.19307832,1438.177322,2103,2597
PU,5.760163934,17.12262295,28.25861566,3.158306011,16.35701275,1523.969672,894,1943
Si,5.00431694,23.80836066,32.3556102,5.200546448,13.38433516,1434.898634,3483,3728
Si,2.198961749,27.04198543,35.46932605,3.238251366,10.12021858,1408.669126,2273,2388
Si,2.562349727,20.18145719,42.89854281,2.18442623,13.47176685,1429.434153,1742,2138
Aerogel,4.379289618,21.40499089,47.48717669,4.880765027,15.6575592,1411.947814,2780,3035
Si,3.34,29.27056466,22.85058288,2.249836066,9.391621129,1360.035246,2008,2174
Si,4.110382514,16.20497268,43.49943534,2.518743169,7.78870674,1570.41776,1312,1660
Aerogel,4.110382514,14.4570674,37.87289618,3.470819672,5.836065574,1436.537978,1142,1409
Aerogel,4.473770492,28.57140255,40.16721312,3.405409836,6.244080146,1571.510656,1522,1752
Aerogel,4.851693989,33.20335155,26.34668488,3.637978142,6.156648452,1485.718306,2026,2214
Aerogel,5.607540984,18.91422587,42.68003643,2.903934426,16.29872495,1279.707377,2558,2794
Aerogel,3.085628415,15.89908925,36.94424408,2.351584699,10.73224044,1449.106284,1044,1562
Si,4.233934426,24.37642987,26.78369763,5.578469945,19.50455373,1551.838525,3354,3695
Si,4.117650273,24.90080146,43.71794171,5.324098361,10.79052823,1503.751093,3110,3315
Aerogel,5.767431694,12.79655738,34.26754098,3.543497268,10.17850638,1375.335792,1555,2015
Si,4.299344262,18.60834244,46.61315118,4.82989071,15.22040073,1321.78388,3710,3864
Aerogel,5.818306011,15.4184153,24.87176685,4.190327869,12.39344262,1484.62541,1653,2113
Aerogel,2.947540984,12.1410929,30.6075592,5.120601093,8.459016393,1323.969672,1453,1812
Si,4.655464481,18.91422587,23.28759563,4.255737705,6.156648452,1456.756557,1959,2276
Aerogel,2.496939891,33.37814208,31.42695811,4.815355191,10.20765027,1468.778415,2414,2468
Aerogel,4.430163934,32.98486339,47.54180328,5.818306011,9.333333333,1494.461475,3657,3690
Aerogel,3.419945355,30.75628415,25.85504554,3.6815847,13.00546448,1308.669126,3124,2870
Aerogel,2.526010929,34.95125683,32.24635701,3.863278689,19.15482696,1501.018853,2873,2804
Si,3.158306011,14.06378871,37.05349727,5.694754098,8.167577414,1427.794809,2218,2508
PU,2.802185792,29.0520765,25.85504554,2.307978142,13.67577414,1543.095355,902,1606
PU,5.200546448,24.72601093,45.13823315,5.345901639,15.6575592,1463.860383,2064,2206
Aerogel,2.569617486,25.81845173,24.59863388,4.771748634,10.52823315,1409.762022,2102,2183
Aerogel,2.380655738,23.41508197,21.53954463,2.613224044,18.83424408,1360.581694,1896,2376
