A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power
11.66374048,Si3,2.143403329,PU,1.726923981,1.798781154,0,331.9876739,-0.001412218,0.055429463,888.9078043
14.24849488,Si3,0.749027079,PU,1.100360393,2.121244762,1,436.0003268,0.000347062,0.045465155,1291.720807
9.650298722,Si3,1.372214926,PU,1.922553585,0.877608982,0,329.863711,-0.000232108,0.041083028,868.056183
8.336191355,Si3,2.020053983,PU,2.969490519,2.408600448,0,288.8699919,0.000199255,0.05544641,711.3944995
11.98213847,Si3,0.308510374,PU,2.729364383,2.278169762,1,412.4352149,0.00087121,0.040946886,1153.473185
15.11664968,Si3,2.11831754,Si3,1.779040768,1.334232366,0,371.8575737,-0.000368766,0.055407469,1126.52023
12.36747278,Si3,1.510747336,Si3,2.192115861,2.203831889,0,364.8205741,-0.001500184,0.055353387,1021.708206
13.47577167,Si3,0.286784561,Si3,1.957538219,0.863500976,1,432.6910629,-0.000327744,0.049489382,1264.18716
10.452413,Si3,0.990541388,Si3,2.932191441,2.449053935,0,357.5516104,0.002269442,0.055235467,947.087044
9.916157265,Si3,0.280684413,Si3,2.542523717,1.373135591,1,377.7499634,0.000716262,0.045602014,1039.543868
9.029494802,Si3,1.280287533,Si3,2.362152998,1.286003305,0,327.0368826,0.000216587,0.055256581,841.5180361
11.28436278,Si3,1.143465421,Si3,2.94439274,1.429404768,0,356.0154962,0.000272959,0.055318859,976.0437403
12.79735546,Si3,0.392800991,Si3,2.404925715,2.355441441,1,421.7357921,0.000310784,0.044442094,1202.719424
15.07084067,Si3,1.8949633,Si3,2.918199277,2.452109946,0,375.086076,0.000367621,0.055321575,1115.242714
10.31917393,Si3,0.340038328,Si3,1.214918418,1.90381655,1,448.7488285,0.000248829,0.001244146,1088.654349
12.53382048,A1,0.439714663,PU,2.894862314,0.817063793,1,394.3966649,0.014297189,0.036807656,1136.916797
13.74771502,A1,2.200820337,PU,2.957352237,1.413701521,0,330.4915776,-0.000334543,0.055182526,939.4857329
9.841409571,A1,0.295212534,PU,1.410684476,2.497498194,1,384.8114145,0.000236885,0.045718853,1040.572084
10.37584175,A1,0.637133653,PU,2.886602691,1.843221049,1,362.2478554,-0.000250246,0.034784194,982.4514224
8.416658988,A1,2.444229612,PU,2.652490647,2.108983389,0,266.0174615,0.000201267,0.055323511,643.8632414
9.808567501,A1,0.686140613,PU,2.021095745,1.477222205,1,363.8067241,0.000236064,0.038950601,966.0503447
14.08555624,A1,0.611691248,PU,2.285151865,1.320040126,1,412.8191944,-0.000342989,0.038071779,1237.508949
15.74725747,A1,0.45436423,PU,1.244248815,0.504218147,1,444.2879955,-0.00499891,0.048066438,1405.550132
8.891448732,A1,0.408443259,Si1,2.533371247,1.609394397,1,365.2772871,0.000213136,0.041135296,961.1958369
8.036615674,Si3,1.163689963,PU,2.177039035,1.81732807,1,324.4521291,0.000191766,0.044681362,793.8674866
8.033440453,A2,1.506106086,PU,2.343281612,1.613462818,0,311.420805,0.001341802,0.055352784,762.1372779
8.153696019,A2,1.405442382,Si2,2.386487158,1.695077471,1,317.0646024,0.000584078,0.041080118,777.4803147
8.541569106,Si3,1.059481665,PU,2.754170003,0.762449943,1,327.8047377,0.000204389,0.045987581,840.7516043
12.71220081,A1,1.026155055,Si2,1.111185732,2.35987181,1,399.3376112,0.041668428,0.037347258,1105.104403
15.83254398,A1,0.685447725,Si1,2.548446524,1.043397445,0,422.1182428,0.000386664,0.055203109,1347.933474
10.47636055,A2,1.410005362,PU,2.352441555,0.70088713,0,339.0048237,0.002274831,0.055300731,918.0089199
10.06616561,A2,1.684520413,Si1,1.540520332,1.219607296,0,331.8618603,0.000242504,0.041468227,876.1687583
11.21760163,Si3,1.057895719,Si3,1.578636783,0.979247533,1,369.051672,0.00027129,0.03716673,1031.084411
10.48413297,Si3,0.795896949,PU,2.936789121,1.251458504,1,361.5923829,0.001264766,0.039207754,984.9285662
15.86967625,A2,1.137601811,Si2,1.972723155,1.638102492,1,427.4832908,0.00581388,0.02519348,1390.007712
10.47039272,A2,1.410394967,PU,2.348450061,0.858257307,0,339.621953,0.002273488,0.055284463,922.6913782
14.00405011,A2,1.316106817,Si3,1.138512758,2.414266918,1,411.6595168,0.023525636,0.037163686,1189.25973
15.87550981,Si1,0.983210208,Si1,1.197586164,1.515291237,0,430.7024571,0.000387738,0.05527938,1337.06554
12.28353302,A1,0.837519039,Si1,2.502592444,0.969107957,0,376.0923689,0.001489692,0.055160326,1074.75631
12.16997862,A2,1.178806177,Si3,2.238840801,0.844412123,0,373.8415186,0.000295099,0.055194251,1087.543073
12.09959884,Si3,1.245552652,PU,1.300909191,0.955621464,1,375.6806203,0.028453978,0.040774257,1038.841828
15.6572839,Si3,0.88780614,Si3,1.273031646,2.053336262,1,438.7994269,0.000382282,0.042433302,1360.105957
